YEAR,DOY,SR,T2M_MIN,T2M_MAX,RH2M,WS2M
2021,249,18.4,23.06,32.68,80.44,0.02
2021,250,18.73,22.72,32.22,83,0.05
2021,251,17.47,22.72,32.51,77.06,0.11
2021,252,19.04,23.07,30.69,83.38,0.1
2021,253,21.34,22.83,32.43,80.75,0.12
2021,254,18.67,23.3,36.94,73.5,0.1
2021,255,23.88,23.11,36.91,69.19,0.09
2021,256,20.13,23.13,35.75,71.31,0.11
2021,257,21.77,23.4,35.43,70.88,0.13
2021,258,15.66,24.11,31.8,82.5,0.1
2021,259,15.2,24.37,30.2,83.56,0.14
2021,260,13.8,23.65,31.66,83.06,0.06
2021,261,12.25,23,29.09,88.19,0.11
2021,262,20,22.68,33.49,78.31,0.13
2021,263,20.18,23.49,32.05,82,0.12
2021,264,7.87,22.65,30.27,88,0.09
2021,265,17.46,21.55,31.52,83.56,0.06
2021,266,19.66,22.64,29.97,85.62,0.14
2021,267,20.07,22.05,34.16,75.38,0.19
2021,268,20.72,23.03,33.62,75.12,0.2
2021,269,21.76,23.05,33.76,77.12,0.16
2021,270,20.2,21.99,32.01,78.62,0.05
2021,271,19.84,22.19,33.7,76.81,0.05
2021,272,12.82,23.2,27.69,89.88,0.06
2021,273,19.17,22.24,30.49,83.56,0.14
2021,274,20.35,23.5,31.46,81.56,0.19
2021,275,13.52,22.7,31.51,81.94,0.13
2021,276,14.52,21.49,29.49,86.38,0
2021,277,11.35,21.58,28.7,86.25,0.09
2021,278,13.69,22.51,29.83,86.62,0.16
2021,279,18.77,22.16,30.51,81.75,0.16
2021,280,18.28,21.85,31.4,80.62,0.25
2021,281,19,22.66,32.49,79.12,0.22
2021,282,18.04,21.62,31.83,78.5,0.16
2021,283,16.32,21.98,31.33,80.62,0.16
2021,284,17.55,22.14,33.34,76.31,0.2
2021,285,18.6,23.78,34.28,71.69,0.28
2021,286,17.49,23.01,34.84,74.06,0.16
2021,287,19.92,23.66,34.75,74.56,0.18
2021,288,19.07,22.75,35.55,72.44,0.09
2021,289,15.13,22.62,32.94,76,0.02
2021,290,13.73,22.13,31.42,75.94,0.04
2021,291,17.84,21.48,31.99,74.94,0.08
2021,292,15.01,22.21,29.58,84.44,0.13
2021,293,11.12,22.02,28.26,90.31,0.01
2021,294,8.28,20.51,27.26,93.88,0
2021,295,16.51,17.83,26.58,75.81,0.16
2021,296,18.56,17.11,28.35,77.56,0.29
2021,297,17.72,19.37,28.1,78.5,0.23
2021,298,17.66,18.56,28.08,81.62,0.26
2021,299,16.46,17.26,28.05,76.12,0.27
2021,300,13.99,18.09,28.25,75.12,0.36
2021,301,13.59,18.36,28.24,78.44,0.3
2021,302,16.38,19.03,26.62,82.06,0.2
2021,303,16.05,18.05,27.6,78.75,0.22
2021,304,15.98,17.62,26.86,79.62,0.28
2021,305,17.43,16.01,26.14,74.62,0.3
2021,306,18.02,16.09,27.3,75.25,0.29
2021,307,17.81,16.5,27.15,75.5,0.32
2021,308,17.21,14.09,26.5,70.06,0.35
2021,309,18.54,14.87,26.34,68.25,0.33
2021,310,18.28,14.83,26.01,71.5,0.3
2021,311,18.74,13.75,26.1,72.88,0.33
2021,312,18.53,14.92,27.34,72.25,0.32
2021,313,18.37,15.54,27.73,75.81,0.26
2021,314,17.58,16.33,27.44,75.75,0.27
2021,315,15.64,15.98,27.57,77.06,0.3
2021,316,13.29,15.33,27.28,77.56,0.21
2021,317,14.51,15.09,26.34,73.12,0.34
2021,318,15.12,13.83,25.5,73.44,0.27
2021,319,15.34,16.33,25.78,78.44,0.18
2021,320,15.15,17.24,25.57,82.94,0.13
2021,321,16.74,14.95,26.57,79.56,0.25
2021,322,17.46,14.68,27,68.75,0.34
2021,323,17.19,13.15,25.74,65.25,0.38
2021,324,16.17,14.58,25.24,69.62,0.39
2021,325,15.38,15.26,25.89,77.12,0.23
2021,326,15.14,15.28,23.98,84.44,0.04
2021,327,14.09,14.62,24.4,83,0.09
2021,328,13.64,12.85,23.55,78.56,0.27
2021,329,15.43,12.83,24.84,67.25,0.37
2021,330,15.97,12.03,23.93,72.94,0.38
2021,331,16.37,11.37,24.97,72.75,0.35
2021,332,16.6,12.45,25.82,71.06,0.33
2021,333,16.5,12.58,25.33,72.5,0.34
2021,334,16.24,11.9,25.66,74.38,0.27
2021,335,16.29,13.26,26.49,71.06,0.32
2021,336,16.22,13.9,27.81,69.19,0.38
2021,337,16.04,14.2,27.19,71.69,0.34
2021,338,10.28,14.04,26.53,73.5,0.29
2021,339,13.63,15.83,27.02,72.81,0.33
2021,340,5.98,16.05,24.12,85.31,0.27
2021,341,4.55,16.8,22.65,91.94,0.11
2021,342,9.89,16.65,25.17,84.81,0.21
2021,343,14.47,14.73,25.82,78.62,0.22
2021,344,9.25,14.37,23.19,81.19,0.3
2021,345,14.18,12.88,23.39,77.12,0.34
2021,346,13.88,11.23,22.73,75.75,0.33
2021,347,13.75,11.23,23.14,75.31,0.3
2021,348,15.12,12.04,24.31,70.88,0.35
2021,349,15.95,11.24,23.26,72.12,0.43
2021,350,15.51,11.44,23.35,69.75,0.41
2021,351,15.85,11.37,24.31,64,0.38
2021,352,15.68,11.42,25.39,60,0.45
2021,353,15.96,11.36,24.05,66.44,0.45
2021,354,15.83,11.15,23.27,69.56,0.41
2021,355,15.93,10.62,23.35,71.31,0.37
2021,356,9.97,11.21,21.62,75.25,0.31
2021,357,14.69,10.79,22.6,71.5,0.33
2021,358,15.39,9.55,22.19,68.19,0.41
2021,359,14.32,9.37,22.63,69.19,0.37
2021,360,14.71,10.73,22.41,67.94,0.4
2021,361,15.11,10.58,22.37,68.81,0.38
2021,362,15.13,9.68,21.66,71,0.34
2021,363,12.4,9.13,23.05,74,0.24
2021,364,14.03,11.91,24.19,69.44,0.31
2021,365,14.94,11.08,23.28,72,0.43
2022,1,13.97,11.47,20.54,79.31,0.25
2022,2,16.02,10.13,23.87,73.62,0.3
2022,3,14.99,10.81,21.58,71.75,0.37
2022,4,15.89,9.28,23.55,70.94,0.39
2022,5,15.39,9.93,24.07,62,0.4
2022,6,15.75,10.66,24.43,62.81,0.38
2022,7,15.69,10.99,24.77,62.56,0.47
2022,8,15.89,11.44,25.1,63.06,0.45
2022,9,16.01,11.3,25.15,70.19,0.38
2022,10,15.56,12.28,25.33,69.81,0.41
2022,11,12.92,12.69,26.26,71.94,0.3
2022,12,8.75,13.81,20.79,81.25,0.21
2022,13,11.19,10.94,22.16,78.75,0.24
2022,14,7.97,11.83,21.33,74.81,0.19
2022,15,7.63,10.72,22.98,68.88,0.2
2022,16,14.71,10.74,23.47,68.06,0.28
2022,17,17.23,8.8,23.83,67.31,0.42
2022,18,12.22,9.46,23.73,62.75,0.33
2022,19,12.85,11.64,23.61,60.69,0.39
2022,20,9.04,10.56,20.51,75.31,0.34
2022,21,11.69,11.19,18.65,76.25,0.23
2022,22,13.41,7.88,21.39,69.06,0.32
2022,23,9.13,8.33,22.2,68.56,0.3
2022,24,8.17,10.19,19.32,79.94,0.15
2022,25,9.09,10.57,18.38,79.12,0.3
2022,26,10.87,10.73,21.25,74.12,0.34
2022,27,8.27,9.69,18.78,83.06,0.21
2022,28,12.06,8.61,19.08,68.69,0.3
2022,29,14.67,5.65,20.55,64.06,0.49
2022,30,12.18,7.07,20.37,68.25,0.31
2022,31,14.53,8.44,21.14,67.56,0.31
2022,32,9.81,8.54,18.33,78.88,0.09
2022,33,10.53,8.06,19.67,79.62,0.15
2022,34,7.88,9.12,21.95,70.81,0.26
2022,35,10.94,9.29,22.83,73.56,0.2
2022,36,11.21,9.33,20.61,83.31,0.08
2022,37,18.05,7.73,19.97,69.75,0.2
2022,38,17.86,8.04,20.62,61.62,0.37
2022,39,17.05,7.25,20.22,73.06,0.31
2022,40,16.93,7.77,20.49,70.62,0.38
2022,41,10.91,7.71,22.61,71.25,0.25
2022,42,15.24,10.98,22.06,75.69,0.2
2022,43,13.74,9.51,20.65,71.81,0.29
2022,44,20.86,6.4,22.86,63.12,0.4
2022,45,21.38,8.37,25.87,51.75,0.44
2022,46,20.59,11.33,26.34,44.81,0.48
2022,47,20.97,7.73,23.98,56.75,0.42
2022,48,20.33,8.83,24.06,59.69,0.39
2022,49,20.09,8.3,24.58,59.44,0.38
2022,50,19.03,8.91,24.5,60.12,0.38
2022,51,18.67,7.63,24.11,62.81,0.1
2022,52,13.22,10.2,19.87,73.19,0.24
2022,53,18.61,9.55,22.7,70.25,0.34
2022,54,9.34,9.02,24.65,62.19,0.35
2022,55,16.14,10.8,24.8,65.06,0.32
2022,56,13.81,12.45,22.44,81,0.36
2022,57,17.36,11.23,26.29,71.12,0.3
2022,58,18.3,10.99,25.88,68.38,0.23
2022,59,13.34,13.93,26.51,67.88,0.09
2022,60,18.06,12.68,26.92,67.62,0.3
2022,61,21.27,13.02,27.37,59.38,0.3
2022,62,21.79,13.07,28.29,55.5,0.42
2022,63,21.48,12.09,28.48,56.56,0.43
2022,64,20.84,11.28,28.33,55.62,0.35
2022,65,21.83,12.85,30.13,53.5,0.44
2022,66,22.55,13.72,32.13,51.94,0.48
2022,67,21.66,16.74,32.83,45.69,0.52
2022,68,21.98,16.5,31.74,50.19,0.4
2022,69,22.1,15.26,32.02,48.62,0.4
2022,70,21.5,16.41,32.14,46.38,0.38
2022,71,20.34,15.12,31.68,45.38,0.37
2022,72,21.27,16.94,32.7,44.12,0.47
2022,73,21.65,18.29,33.4,44.12,0.46
2022,74,20.23,18.84,33.29,48.31,0.37
2022,75,21.23,17.82,32.65,49.44,0.37
2022,76,21.67,15.88,32.77,46.31,0.38
2022,77,21.52,16.63,33.87,50.94,0.37
2022,78,20.38,18.01,34.45,55.94,0.38
2022,79,20.81,17.76,34.37,54.62,0.13
2022,80,21.14,17.18,34.3,52.25,0.2
2022,81,19.57,17.59,34.08,51.88,0.18
2022,82,19.51,19.63,33.19,53.5,0.33
2022,83,14.27,18.34,31.96,58.38,0.18
2022,84,15.65,18.54,30.96,65.88,0.16
2022,85,7.67,20.05,31.79,66.12,0.16
2022,86,20.5,18.19,32.01,64.88,0.2
2022,87,10.73,17.57,31.5,59.88,0.3
2022,88,8.66,17.12,31.12,62.19,0.24
2022,89,7.76,18.23,31.86,64.06,0.26
2022,90,8.07,18.33,32.4,68.62,0.18
2022,91,8.4,19.58,33.01,67.06,0.2
2022,92,10.55,20.51,33.9,66.25,0.18
2022,93,11.36,20.18,32.19,68.06,0.08
2022,94,5.95,19.54,31.09,71.12,0.16
2022,95,16.07,19.44,32.84,67.25,0.13
2022,96,14.1,19.68,32.23,71.06,0.12
2022,97,14.5,18.13,33.96,66,0.16
2022,98,17.6,18.59,34,62.5,0.18
2022,99,14.78,18.35,30.03,71.81,0.17
2022,100,11.14,18.23,30.97,69.75,0.22
2022,101,8.61,18.38,27.55,78.75,0.13
2022,102,13.22,19.64,31.34,73.94,0.18
2022,103,7.83,19.9,32.13,73.06,0.14
2022,104,14.38,21.6,29.3,76.25,0.14
2022,105,18.34,21.01,31.7,70.56,0.18
