Year,DOY,SolarRadiation,MaxTemp,MaxTemp,RH,WindSpeed,ETo,ETc,Stage,CWR
2021,202,16.43,24.69,34.32,76.38,0.12,4.053,2.026,1,0.563
2021,203,22.38,23.95,35.34,74.31,0.06,5.497,2.748,1,0.763
2021,204,18.43,23.48,34.76,75.25,0.01,4.493,2.246,1,0.624
2021,205,22.14,24.19,35.29,76.81,0.01,5.433,2.716,1,0.754
2021,206,18.21,23.93,32.67,78.94,0,4.396,2.198,1,0.611
2021,207,18.56,24.3,32.48,80.69,0.05,4.49,2.245,1,0.624
2021,208,16.83,25.42,33,79.12,0.12,4.13,2.065,1,0.574
2021,209,22.18,24.51,36.5,72.81,0.04,5.497,2.748,1,0.763
2021,210,15.59,23.28,32.23,82.69,0.03,3.742,1.871,1,0.52
2021,211,12.58,24.04,30.59,86.38,0.06,3.005,1.502,1,0.417
2021,212,13.24,23.22,29.68,87.19,0.02,3.125,1.562,1,0.434
2021,213,14.7,22.97,31.89,81.44,0.05,3.518,1.759,1,0.489
2021,214,18.53,23.56,31.89,84.62,0.04,4.442,2.221,1,0.617
2021,215,18.62,23.67,32.05,83.88,0.09,4.472,2.236,1,0.621
2021,216,20.93,24.1,35.5,71.19,0.15,5.185,2.592,1,0.72
2021,217,21.32,23.77,36.58,72,0.13,5.29,2.645,1,0.735
2021,218,18.49,23.73,35.1,77.38,0.03,4.526,2.263,1,0.629
2021,219,8.15,23.69,31.22,87.12,0.01,1.949,0.974,1,0.271
2021,220,19,22.82,32.37,81.44,0,4.548,2.274,1,0.632
2021,221,13.59,24.37,33.37,78.88,0,3.302,1.651,1,0.459
2021,222,12.1,23.73,29.88,84.31,0,2.868,1.434,1,0.398
2021,223,13.37,23.55,33.42,83.62,0,3.234,1.617,1,0.449
2021,224,13.07,23.37,28.15,90,0,3.057,1.528,1,0.424
2021,225,11.46,23,31.42,83.12,0,2.73,1.365,1,0.379
2021,226,9.03,22.57,32.08,83.38,0,2.154,1.077,1,0.299
2021,227,14.05,23.07,32.98,80.69,0.05,3.389,1.694,1,0.471
2021,228,13.35,23.52,29.08,89,0,3.144,1.572,1,0.437
2021,229,9.65,22.83,29.38,87,0.02,2.269,1.134,1,0.315
2021,230,13.69,21.51,31.31,82.62,0.02,3.231,1.616,1,0.449
2021,231,11.51,22.5,30.83,85.06,0,2.724,1.362,1,0.378
2021,232,11.98,21.53,31.64,82.19,0,2.832,1.416,1,0.393
2021,233,17.39,23.36,30.19,85.81,0,4.121,2.06,1,0.572
2021,234,12.72,23,31.96,83.94,0,3.041,1.52,1,0.422
2021,235,10.99,22.04,31.93,83.75,0,2.611,1.306,1,0.363
2021,236,13.75,23.25,31.4,84.62,0,3.28,1.64,1,0.456
2021,237,12.03,22.32,30.43,85.69,0.02,2.838,1.419,1,0.394
2021,238,15.12,23.2,30.71,87.25,0.05,3.59,1.795,1,0.499
2021,239,12.27,23.56,28.33,88.94,0.05,2.877,1.438,1,0.399
2021,240,16.97,23.4,29.12,85.25,0.1,3.996,1.998,1,0.555
2021,241,15.72,23.17,30.97,84.44,0.12,3.744,1.872,1,0.52
2021,242,16.27,22.67,30.33,85.25,0.05,3.842,1.921,1,0.534
2021,243,19.28,23.33,27.29,91.38,0.09,4.465,2.232,1,0.62
2021,244,14.53,23.05,29.71,88.5,0.09,3.423,1.712,1,0.476
2021,245,15.64,23.48,31.06,83.88,0.09,3.735,1.868,1,0.519
2021,246,21.14,22.62,33.4,78.56,0.13,5.095,2.548,1,0.708
2021,247,19.91,23.18,33.84,77.44,0.12,4.834,2.417,1,0.671
2021,248,18.23,23.86,32.26,82.44,0.08,4.393,2.196,1,0.61
2021,249,18.4,23.06,32.68,80.44,0.02,4.421,2.21,1,0.614
2021,250,18.73,22.72,32.22,83,0.05,4.477,2.238,1,0.622
2021,251,17.47,22.72,32.51,77.06,0.11,4.204,2.102,1,0.584
2021,252,19.04,23.07,30.69,83.38,0.1,4.518,2.259,1,0.628
2021,253,21.34,22.83,32.43,80.75,0.12,5.113,2.556,1,0.71
2021,254,18.67,23.3,36.94,73.5,0.1,4.625,2.312,1,0.642
2021,255,23.88,23.11,36.91,69.19,0.09,5.901,2.95,1,0.819
